Mcts Seed,Mcts Rollout Time,Mcts Exploration,Mcts Value Heuristic,Mcts Rollout Heuristic,Action Selection,Future Action Queue Length,Fixed Search Rollouts,Time,Minerals,Total Minerals,Vespene,Workers,Bases,Gas Buildings,Score
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,299.86607142857144,370,4470,0,39,8,0,36.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,299.9107142857143,370,3870,0,27,8,0,24.0
0,600,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,4600,21075,2152,126,22,23,151.0
