Mcts Seed,Mcts Rollout Time,Mcts Exploration,Mcts Value Heuristic,Mcts Rollout Heuristic,Time,Minerals,Total Minerals,Vespene,Workers,Bases,Gas Buildings
0,300,1.4142135623730951,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,299.9107142857143,10,4960,0,48,9,0
0,300,1.4142135623730951,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,299.95535714285717,35,3835,0,33,8,0
